Date,TextBlob,Vader
2018-02-24,0.046,-0.044
2018-02-25,0.073,0.032
2018-02-26,0.096,0.011
2018-02-27,0.017,-0.057
2018-02-28,0.070,-0.016
2018-03-01,0.051,-0.032
2018-03-02,0.048,-0.126
2018-03-03,0.068,-0.032
2018-03-04,0.045,-0.036
2018-03-05,0.160,0.177
2018-03-06,0.090,-0.028
2018-03-07,0.077,-0.051
2018-03-08,0.044,-0.031
2018-03-09,0.047,-0.041
2018-03-10,0.056,-0.052
2018-03-11,0.078,0.003
2018-03-12,0.069,-0.026
2018-03-13,0.040,-0.023
2018-03-14,0.088,-0.018
2018-03-15,0.051,-0.087
2018-03-16,0.059,-0.095
